<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIU2 [SPBFUT],Daily,20220624,000000,126250.000000,126370.000000,123060.000000,125900.000000,117602.000000
RIU2 [SPBFUT],Daily,20220627,000000,126000.000000,130770.000000,124200.000000,130090.000000,120362.000000
RIU2 [SPBFUT],Daily,20220628,000000,130370.000000,135200.000000,128730.000000,134880.000000,146580.000000
RIU2 [SPBFUT],Daily,20220629,000000,134940.000000,138490.000000,127010.000000,127110.000000,237818.000000
RIU2 [SPBFUT],Daily,20220630,000000,127030.000000,130300.000000,121500.000000,127140.000000,270847.000000
RIU2 [SPBFUT],Daily,20220701,000000,126750.000000,128500.000000,117530.000000,120050.000000,236124.000000
RIU2 [SPBFUT],Daily,20220704,000000,119750.000000,122400.000000,117270.000000,118730.000000,156372.000000
RIU2 [SPBFUT],Daily,20220705,000000,119010.000000,120200.000000,111500.000000,111650.000000,227042.000000
RIU2 [SPBFUT],Daily,20220706,000000,111550.000000,115200.000000,108740.000000,108750.000000,224956.000000
RIU2 [SPBFUT],Daily,20220707,000000,108940.000000,112960.000000,108100.000000,112460.000000,159984.000000
RIU2 [SPBFUT],Daily,20220708,000000,113000.000000,114730.000000,111330.000000,112500.000000,127425.000000
RIU2 [SPBFUT],Daily,20220711,000000,112490.000000,114500.000000,107250.000000,114500.000000,207297.000000
RIU2 [SPBFUT],Daily,20220712,000000,114210.000000,114850.000000,110250.000000,111180.000000,191509.000000
RIU2 [SPBFUT],Daily,20220713,000000,111310.000000,112820.000000,107800.000000,110210.000000,168000.000000
RIU2 [SPBFUT],Daily,20220714,000000,110420.000000,113270.000000,107110.000000,107910.000000,188249.000000
RIU2 [SPBFUT],Daily,20220715,000000,108020.000000,114000.000000,107560.000000,113540.000000,181018.000000
RIU2 [SPBFUT],Daily,20220718,000000,113600.000000,115500.000000,112590.000000,114120.000000,139353.000000
RIU2 [SPBFUT],Daily,20220719,000000,114140.000000,115100.000000,110830.000000,115090.000000,162177.000000
RIU2 [SPBFUT],Daily,20220720,000000,114910.000000,117960.000000,114350.000000,115760.000000,162008.000000
RIU2 [SPBFUT],Daily,20220721,000000,115940.000000,116000.000000,107650.000000,110510.000000,214093.000000
